c,t,trials,precision_obs_mean,precision_theory,recall_obs_mean,f1_obs_mean,f1_theory,aupr_obs_mean,aupr_theory,f1_abs_error_mean,aupr_abs_error_mean,f1_bias,aupr_bias,f1_bias_abs,aupr_bias_abs
0.4,1000,500,0.400216,0.4,1.0,0.5714823390755365,0.5714285714285715,0.40546427111090344,0.4044912825163302,0.012301378708774029,0.016936302197203892,5.3767646964963944e-05,0.000972988594573232,5.3767646964963944e-05,0.000972988594573232
0.4,5000,500,0.40023000000000003,0.4,1.0,0.5716305592665106,0.5714285714285715,0.40085006842797183,0.40109134106235816,0.005518522913953551,0.007956113072898825,0.00020198783793912156,-0.00024127263438633584,0.00020198783793912156,0.00024127263438633584
0.7,50,500,0.69872,0.7,1.0,0.8208799025819302,0.8235294117647058,0.7236278600202756,0.726995232021978,0.03593143433571161,0.06628455150454642,-0.0026495091827756223,-0.003367372001702451,0.0026495091827756223,0.003367372001702451
0.7,200,500,0.7002,0.7,1.0,0.8232979963645075,0.8235294117647058,0.7071079085937281,0.7088170464221744,0.0164426276001405,0.03346613158050537,-0.0002314154001983315,-0.0017091378284462833,0.0002314154001983315,0.0017091378284462833
0.7,1000,500,0.698978,0.7,1.0,0.82273673843133,0.8235294117647058,0.7012754022574026,0.702245641258165,0.007983954408119779,0.015908939272440123,-0.0007926733333758484,-0.0009702390007624295,0.0007926733333758484,0.0009702390007624295
0.7,5000,500,0.7002324,0.7,1.0,0.8236727359328248,0.8235294117647058,0.7011408423657746,0.700545670531179,0.0035083680641761067,0.007475305661835867,0.0001433241681189079,0.0005951718345955648,0.0001433241681189079,0.0005951718345955648
0.9,50,500,0.90188,0.9,1.0,0.9478902391562283,0.9473684210526316,0.9092452996935959,0.9089984106739927,0.018396862428679737,0.04124233190279652,0.0005218181035966385,0.00024688901960323584,0.0005218181035966385,0.00024688901960323584
0.9,200,500,0.9014300000000001,0.9,1.0,0.9480354452503127,0.9473684210526316,0.9037678245360039,0.9029390154740582,0.009035340297839792,0.02290507098718779,0.0006670241976810543,0.0008288090619457122,0.0006670241976810543,0.0008288090619457122
0.9,1000,500,0.901154,0.9,1.0,0.9479804779140111,0.9473684210526316,0.9017888536953371,0.900748547086055,0.00425161930648042,0.010776995531781679,0.0006120568613794397,0.0010403066092821156,0.0006120568613794397,0.0010403066092821156
0.9,5000,500,0.8998748000000001,0.9,1.0,0.9472942478218226,0.9473684210526316,0.9000036676999108,0.9001818901770597,0.001797394686051598,0.004723859654271232,-7.417323080904925e-05,-0.00017822247714893713,7.417323080904925e-05,0.00017822247714893713
